Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2023-01-01 00:00:00,Germany,Germany,DE,152.03,199.59,82.97,77.71,entsoe.eu,false,
2023-01-01 01:00:00,Germany,Germany,DE,151.04,198.38,83.24,78.35,entsoe.eu,false,
2023-01-01 02:00:00,Germany,Germany,DE,159.52,208.8,82.28,77.12,entsoe.eu,false,
2023-01-01 03:00:00,Germany,Germany,DE,160.98,210.75,82.06,76.84,entsoe.eu,false,
2023-01-01 04:00:00,Germany,Germany,DE,159.37,208.97,82.28,77.07,entsoe.eu,false,
2023-01-01 05:00:00,Germany,Germany,DE,160.2,210.18,82.09,76.87,entsoe.eu,false,
2023-01-01 06:00:00,Germany,Germany,DE,157.96,207.61,82.4,77.27,entsoe.eu,false,
2023-01-01 07:00:00,Germany,Germany,DE,159.11,209.64,82.26,76.99,entsoe.eu,false,
2023-01-01 08:00:00,Germany,Germany,DE,151.89,202.21,83.07,78.08,entsoe.eu,false,
2023-01-01 09:00:00,Germany,Germany,DE,144.58,194.53,83.86,79.1,entsoe.eu,false,
2023-01-01 10:00:00,Germany,Germany,DE,142.95,192.94,84.15,79.31,entsoe.eu,false,
2023-01-01 11:00:00,Germany,Germany,DE,145.64,196.59,83.86,79.1,entsoe.eu,false,
2023-01-01 12:00:00,Germany,Germany,DE,154.75,206.68,82.89,77.71,entsoe.eu,false,
2023-01-01 13:00:00,Germany,Germany,DE,155.47,206.0,82.78,77.1,entsoe.eu,false,
2023-01-01 14:00:00,Germany,Germany,DE,161.13,210.86,82.46,75.98,entsoe.eu,false,
2023-01-01 15:00:00,Germany,Germany,DE,186.87,236.48,81.28,73.72,entsoe.eu,false,
2023-01-01 16:00:00,Germany,Germany,DE,186.38,235.33,81.89,72.89,entsoe.eu,false,
2023-01-01 17:00:00,Germany,Germany,DE,196.11,245.61,80.95,71.68,entsoe.eu,false,
2023-01-01 18:00:00,Germany,Germany,DE,196.0,246.52,80.69,71.98,entsoe.eu,false,
2023-01-01 19:00:00,Germany,Germany,DE,186.53,237.99,80.44,71.12,entsoe.eu,false,
2023-01-01 20:00:00,Germany,Germany,DE,181.69,233.06,80.78,71.77,entsoe.eu,false,
2023-01-01 21:00:00,Germany,Germany,DE,188.64,241.23,79.94,70.13,entsoe.eu,false,
2023-01-01 22:00:00,Germany,Germany,DE,189.72,244.02,79.08,69.47,entsoe.eu,false,
2023-01-01 23:00:00,Germany,Germany,DE,199.6,255.16,77.79,67.54,entsoe.eu,false,
2023-01-02 00:00:00,Germany,Germany,DE,204.83,261.19,77.2,67.04,entsoe.eu,false,
2023-01-02 01:00:00,Germany,Germany,DE,202.71,258.2,77.44,68.04,entsoe.eu,false,
2023-01-02 02:00:00,Germany,Germany,DE,197.7,251.94,78.02,68.74,entsoe.eu,false,
