Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2023-01-01 00:00:00,France,France,FR,35.34,56.64,92.78,40.96,opendata.reseaux-energies.fr,false,
2023-01-01 01:00:00,France,France,FR,36.53,58.17,92.56,40.1,opendata.reseaux-energies.fr,false,
2023-01-01 02:00:00,France,France,FR,35.16,56.65,92.67,39.42,opendata.reseaux-energies.fr,false,
2023-01-01 03:00:00,France,France,FR,36.15,57.9,92.49,38.88,opendata.reseaux-energies.fr,false,
2023-01-01 04:00:00,France,France,FR,36.0,57.72,92.47,37.92,opendata.reseaux-energies.fr,false,
2023-01-01 05:00:00,France,France,FR,39.31,61.81,91.91,37.69,opendata.reseaux-energies.fr,false,
2023-01-01 06:00:00,France,France,FR,40.99,63.92,91.55,37.76,opendata.reseaux-energies.fr,false,
2023-01-01 07:00:00,France,France,FR,42.44,65.8,91.29,37.39,opendata.reseaux-energies.fr,false,
2023-01-01 08:00:00,France,France,FR,39.62,62.76,91.73,39.37,opendata.reseaux-energies.fr,false,
2023-01-01 09:00:00,France,France,FR,35.96,58.71,92.4,40.51,opendata.reseaux-energies.fr,false,
2023-01-01 10:00:00,France,France,FR,33.35,55.73,92.68,40.07,opendata.reseaux-energies.fr,false,
2023-01-01 11:00:00,France,France,FR,34.38,57.08,92.3,40.15,opendata.reseaux-energies.fr,false,
2023-01-01 12:00:00,France,France,FR,30.91,52.42,92.81,39.62,opendata.reseaux-energies.fr,false,
2023-01-01 13:00:00,France,France,FR,29.41,50.02,93.16,37.4,opendata.reseaux-energies.fr,false,
2023-01-01 14:00:00,France,France,FR,28.46,48.33,93.33,35.85,opendata.reseaux-energies.fr,false,
2023-01-01 15:00:00,France,France,FR,28.74,47.99,93.37,34.01,opendata.reseaux-energies.fr,false,
2023-01-01 16:00:00,France,France,FR,27.99,45.78,94.07,37.85,opendata.reseaux-energies.fr,false,
2023-01-01 17:00:00,France,France,FR,24.71,41.61,94.81,39.22,opendata.reseaux-energies.fr,false,
2023-01-01 18:00:00,France,France,FR,23.6,40.24,95.01,39.23,opendata.reseaux-energies.fr,false,
2023-01-01 19:00:00,France,France,FR,23.28,40.27,94.86,38.01,opendata.reseaux-energies.fr,false,
2023-01-01 20:00:00,France,France,FR,22.79,39.92,94.83,36.56,opendata.reseaux-energies.fr,false,
2023-01-01 21:00:00,France,France,FR,22.75,39.95,94.79,35.61,opendata.reseaux-energies.fr,false,
2023-01-01 22:00:00,France,France,FR,23.14,40.42,94.7,34.96,opendata.reseaux-energies.fr,false,
2023-01-01 23:00:00,France,France,FR,24.68,42.36,94.35,34.5,opendata.reseaux-energies.fr,false,
2023-01-02 00:00:00,France,France,FR,26.05,44.1,93.96,32.48,opendata.reseaux-energies.fr,false,
2023-01-02 01:00:00,France,France,FR,26.97,45.33,93.74,32.09,opendata.reseaux-energies.fr,false,
2023-01-02 02:00:00,France,France,FR,27.75,46.32,93.57,31.18,opendata.reseaux-energies.fr,false,
2023-01-02 03:00:00,France,France,FR,27.96,46.49,93.52,29.28,opendata.reseaux-energies.fr,false,
2023-01-02 04:00:00,France,France,FR,28.26,46.65,93.46,26.65,opendata.reseaux-energies.fr,false,
2023-01-02 05:00:00,France,France,FR,27.64,45.62,93.6,25.68,opendata.reseaux-energies.fr,false,
2023-01-02 06:00:00,France,France,FR,26.95,44.34,93.89,26.28,opendata.reseaux-energies.fr,false,
2023-01-02 07:00:00,France,France,FR,28.79,46.33,93.63,27.05,opendata.reseaux-energies.fr,false,
2023-01-02 08:00:00,France,France,FR,28.39,45.85,93.69,26.11,opendata.reseaux-energies.fr,false,
2023-01-02 09:00:00,France,France,FR,29.61,47.69,93.34,26.26,opendata.reseaux-energies.fr,false,
2023-01-02 10:00:00,France,France,FR,30.25,48.71,93.2,26.9,opendata.reseaux-energies.fr,false,
2023-01-02 11:00:00,France,France,FR,30.49,48.97,93.25,28.13,opendata.reseaux-energies.fr,false,
2023-01-02 12:00:00,France,France,FR,30.05,48.59,93.32,28.34,opendata.reseaux-energies.fr,false,
2023-01-02 13:00:00,France,France,FR,30.14,48.68,93.22,27.55,opendata.reseaux-energies.fr,false,
2023-01-02 14:00:00,France,France,FR,32.96,51.77,92.66,26.7,opendata.reseaux-energies.fr,false,
2023-01-02 15:00:00,France,France,FR,33.14,51.55,92.7,25.44,opendata.reseaux-energies.fr,false,
2023-01-02 16:00:00,France,France,FR,32.81,50.86,92.76,25.55,opendata.reseaux-energies.fr,false,
2023-01-02 17:00:00,France,France,FR,31.46,48.86,93.24,26.55,opendata.reseaux-energies.fr,false,
2023-01-02 18:00:00,France,France,FR,35.11,53.01,92.91,26.87,opendata.reseaux-energies.fr,false,
2023-01-02 19:00:00,France,France,FR,33.53,51.04,93.25,25.35,opendata.reseaux-energies.fr,false,
2023-01-02 20:00:00,France,France,FR,31.04,48.41,93.43,22.59,opendata.reseaux-energies.fr,false,
2023-01-02 21:00:00,France,France,FR,29.26,46.53,93.56,21.16,opendata.reseaux-energies.fr,false,
2023-01-02 22:00:00,France,France,FR,33.97,52.56,92.76,20.0,opendata.reseaux-energies.fr,false,
2023-01-02 23:00:00,France,France,FR,30.75,48.83,93.21,18.89,opendata.reseaux-energies.fr,false,
2023-01-03 00:00:00,France,France,FR,29.99,47.87,93.35,18.63,opendata.reseaux-energies.fr,false,
2023-01-03 01:00:00,France,France,FR,27.38,45.06,93.28,18.4,opendata.reseaux-energies.fr,false,
2023-01-03 02:00:00,France,France,FR,28.45,46.37,93.09,18.52,opendata.reseaux-energies.fr,false,
2023-01-03 03:00:00,France,France,FR,29.35,47.49,92.91,18.79,opendata.reseaux-energies.fr,false,
2023-01-03 04:00:00,France,France,FR,31.85,50.71,92.33,19.56,opendata.reseaux-energies.fr,false,
2023-01-03 05:00:00,France,France,FR,35.47,55.45,91.56,21.92,opendata.reseaux-energies.fr,false,
2023-01-03 06:00:00,France,France,FR,39.92,60.37,90.71,24.36,opendata.reseaux-energies.fr,false,
2023-01-03 07:00:00,France,France,FR,44.41,65.43,89.92,27.44,opendata.reseaux-energies.fr,false,
2023-01-03 08:00:00,France,France,FR,45.71,67.21,89.59,27.95,opendata.reseaux-energies.fr,false,
2023-01-03 09:00:00,France,France,FR,44.07,65.77,89.8,29.32,opendata.reseaux-energies.fr,false,
2023-01-03 10:00:00,France,France,FR,42.52,64.48,90.02,29.84,opendata.reseaux-energies.fr,false,
2023-01-03 11:00:00,France,France,FR,41.63,63.67,90.2,30.4,opendata.reseaux-energies.fr,false,
2023-01-03 12:00:00,France,France,FR,40.3,62.21,90.45,29.88,opendata.reseaux-energies.fr,false,
2023-01-03 13:00:00,France,France,FR,41.79,63.94,90.1,29.92,opendata.reseaux-energies.fr,false,
2023-01-03 14:00:00,France,France,FR,42.74,64.85,89.91,29.57,opendata.reseaux-energies.fr,false,
2023-01-03 15:00:00,France,France,FR,42.66,64.16,90.04,29.31,opendata.reseaux-energies.fr,false,
2023-01-03 16:00:00,France,France,FR,43.37,64.84,89.86,29.1,opendata.reseaux-energies.fr,false,
2023-01-03 17:00:00,France,France,FR,42.43,63.49,90.2,30.88,opendata.reseaux-energies.fr,false,
2023-01-03 18:00:00,France,France,FR,40.91,61.79,90.42,30.77,opendata.reseaux-energies.fr,false,
2023-01-03 19:00:00,France,France,FR,34.69,54.22,91.8,30.17,opendata.reseaux-energies.fr,false,
2023-01-03 20:00:00,France,France,FR,27.6,45.22,93.57,30.57,opendata.reseaux-energies.fr,false,
2023-01-03 21:00:00,France,France,FR,24.29,41.12,94.46,30.48,opendata.reseaux-energies.fr,false,
2023-01-03 22:00:00,France,France,FR,23.94,40.98,94.44,29.88,opendata.reseaux-energies.fr,false,
2023-01-03 23:00:00,France,France,FR,23.38,40.34,94.58,30.36,opendata.reseaux-energies.fr,false,
2023-01-04 00:00:00,France,France,FR,23.3,40.33,94.6,30.86,opendata.reseaux-energies.fr,false,
2023-01-04 01:00:00,France,France,FR,23.47,40.62,94.54,31.18,opendata.reseaux-energies.fr,false,
2023-01-04 02:00:00,France,France,FR,23.32,40.55,94.54,31.68,opendata.reseaux-energies.fr,false,
2023-01-04 03:00:00,France,France,FR,22.65,39.76,94.69,32.56,opendata.reseaux-energies.fr,false,
2023-01-04 04:00:00,France,France,FR,23.57,40.95,94.56,33.76,opendata.reseaux-energies.fr,false,
2023-01-04 05:00:00,France,France,FR,25.14,42.86,94.24,33.7,opendata.reseaux-energies.fr,false,
2023-01-04 06:00:00,France,France,FR,23.33,40.37,94.6,32.69,opendata.reseaux-energies.fr,false,
2023-01-04 07:00:00,France,France,FR,21.67,38.17,94.95,32.16,opendata.reseaux-energies.fr,false,
2023-01-04 08:00:00,France,France,FR,21.89,38.29,95.09,33.27,opendata.reseaux-energies.fr,false,
2023-01-04 09:00:00,France,France,FR,20.26,36.64,95.39,34.71,opendata.reseaux-energies.fr,false,
2023-01-04 10:00:00,France,France,FR,20.07,36.91,95.38,35.28,opendata.reseaux-energies.fr,false,
2023-01-04 11:00:00,France,France,FR,19.08,35.66,95.58,35.16,opendata.reseaux-energies.fr,false,
2023-01-04 12:00:00,France,France,FR,18.12,34.57,95.71,34.64,opendata.reseaux-energies.fr,false,
2023-01-04 13:00:00,France,France,FR,18.76,35.32,95.53,33.72,opendata.reseaux-energies.fr,false,
2023-01-04 14:00:00,France,France,FR,19.26,35.65,95.43,32.7,opendata.reseaux-energies.fr,false,
2023-01-04 15:00:00,France,France,FR,19.55,35.44,95.44,31.68,opendata.reseaux-energies.fr,false,
2023-01-04 16:00:00,France,France,FR,21.3,37.2,95.26,31.94,opendata.reseaux-energies.fr,false,
2023-01-04 17:00:00,France,France,FR,22.84,38.62,95.17,33.66,opendata.reseaux-energies.fr,false,
2023-01-04 18:00:00,France,France,FR,26.38,42.62,94.69,34.23,opendata.reseaux-energies.fr,false,
2023-01-04 19:00:00,France,France,FR,26.12,42.79,94.44,31.87,opendata.reseaux-energies.fr,false,
2023-01-04 20:00:00,France,France,FR,25.84,43.26,94.11,29.72,opendata.reseaux-energies.fr,false,
2023-01-04 21:00:00,France,France,FR,25.51,42.82,94.24,29.6,opendata.reseaux-energies.fr,false,
2023-01-04 22:00:00,France,France,FR,26.22,43.73,94.07,28.71,opendata.reseaux-energies.fr,false,
2023-01-04 23:00:00,France,France,FR,26.45,43.94,94.17,28.19,opendata.reseaux-energies.fr,false,
2023-01-05 00:00:00,France,France,FR,29.13,47.34,93.71,28.0,opendata.reseaux-energies.fr,false,
2023-01-05 01:00:00,France,France,FR,30.17,48.58,93.48,27.15,opendata.reseaux-energies.fr,false,
2023-01-05 02:00:00,France,France,FR,29.34,47.62,93.58,26.07,opendata.reseaux-energies.fr,false,
2023-01-05 03:00:00,France,France,FR,29.13,47.41,93.59,25.56,opendata.reseaux-energies.fr,false,
2023-01-05 04:00:00,France,France,FR,30.21,48.54,93.52,24.65,opendata.reseaux-energies.fr,false,
2023-01-05 05:00:00,France,France,FR,28.53,46.19,93.88,23.57,opendata.reseaux-energies.fr,false,
2023-01-05 06:00:00,France,France,FR,32.45,50.85,93.04,24.02,opendata.reseaux-energies.fr,false,
2023-01-05 07:00:00,France,France,FR,41.21,61.14,91.27,25.25,opendata.reseaux-energies.fr,false,
2023-01-05 08:00:00,France,France,FR,43.72,64.49,90.44,24.26,opendata.reseaux-energies.fr,false,
2023-01-05 09:00:00,France,France,FR,42.19,63.33,90.37,25.27,opendata.reseaux-energies.fr,false,
2023-01-05 10:00:00,France,France,FR,39.55,60.66,90.73,26.15,opendata.reseaux-energies.fr,false,
2023-01-05 11:00:00,France,France,FR,38.21,59.17,90.91,26.77,opendata.reseaux-energies.fr,false,
2023-01-05 12:00:00,France,France,FR,39.22,60.4,90.7,27.07,opendata.reseaux-energies.fr,false,
2023-01-05 13:00:00,France,France,FR,40.58,62.0,90.34,26.67,opendata.reseaux-energies.fr,false,
2023-01-05 14:00:00,France,France,FR,43.59,65.46,89.64,25.9,opendata.reseaux-energies.fr,false,
2023-01-05 15:00:00,France,France,FR,46.21,68.28,89.09,25.37,opendata.reseaux-energies.fr,false,
2023-01-05 16:00:00,France,France,FR,48.21,70.37,88.76,25.9,opendata.reseaux-energies.fr,false,
2023-01-05 17:00:00,France,France,FR,47.51,69.64,88.8,26.22,opendata.reseaux-energies.fr,false,
2023-01-05 18:00:00,France,France,FR,46.52,68.5,89.05,26.34,opendata.reseaux-energies.fr,false,
2023-01-05 19:00:00,France,France,FR,43.97,65.03,89.55,24.15,opendata.reseaux-energies.fr,false,
2023-01-05 20:00:00,France,France,FR,43.15,64.03,89.76,23.34,opendata.reseaux-energies.fr,false,
2023-01-05 21:00:00,France,France,FR,39.7,59.77,90.62,22.53,opendata.reseaux-energies.fr,false,
2023-01-05 22:00:00,France,France,FR,38.51,58.47,90.85,22.72,opendata.reseaux-energies.fr,false,
2023-01-05 23:00:00,France,France,FR,29.1,47.07,92.94,22.54,opendata.reseaux-energies.fr,false,
2023-01-06 00:00:00,France,France,FR,24.09,40.7,94.3,23.02,opendata.reseaux-energies.fr,false,
2023-01-06 01:00:00,France,France,FR,23.96,40.57,94.36,22.59,opendata.reseaux-energies.fr,false,
2023-01-06 02:00:00,France,France,FR,25.01,41.94,94.07,22.88,opendata.reseaux-energies.fr,false,
2023-01-06 03:00:00,France,France,FR,24.87,41.72,94.15,23.14,opendata.reseaux-energies.fr,false,
2023-01-06 04:00:00,France,France,FR,24.38,41.13,94.25,23.28,opendata.reseaux-energies.fr,false,
2023-01-06 05:00:00,France,France,FR,29.1,47.01,93.31,23.56,opendata.reseaux-energies.fr,false,
2023-01-06 06:00:00,France,France,FR,32.91,51.83,92.42,24.13,opendata.reseaux-energies.fr,false,
2023-01-06 07:00:00,France,France,FR,38.43,57.92,91.9,26.18,opendata.reseaux-energies.fr,false,
2023-01-06 08:00:00,France,France,FR,37.03,55.87,92.32,27.83,opendata.reseaux-energies.fr,false,
2023-01-06 09:00:00,France,France,FR,34.03,52.51,93.0,29.81,opendata.reseaux-energies.fr,false,
2023-01-06 10:00:00,France,France,FR,30.77,49.13,93.45,30.4,opendata.reseaux-energies.fr,false,
2023-01-06 11:00:00,France,France,FR,29.03,47.58,93.56,29.85,opendata.reseaux-energies.fr,false,
2023-01-06 12:00:00,France,France,FR,27.22,45.72,93.64,28.56,opendata.reseaux-energies.fr,false,
2023-01-06 13:00:00,France,France,FR,28.4,47.1,93.21,26.9,opendata.reseaux-energies.fr,false,
2023-01-06 14:00:00,France,France,FR,32.96,52.23,92.21,26.29,opendata.reseaux-energies.fr,false,
2023-01-06 15:00:00,France,France,FR,37.55,57.66,91.05,24.81,opendata.reseaux-energies.fr,false,
2023-01-06 16:00:00,France,France,FR,40.07,60.3,90.6,25.5,opendata.reseaux-energies.fr,false,
2023-01-06 17:00:00,France,France,FR,40.16,60.06,90.72,27.13,opendata.reseaux-energies.fr,false,
2023-01-06 18:00:00,France,France,FR,39.46,59.23,90.84,27.14,opendata.reseaux-energies.fr,false,
2023-01-06 19:00:00,France,France,FR,37.16,56.54,91.25,25.89,opendata.reseaux-energies.fr,false,
2023-01-06 20:00:00,France,France,FR,28.09,44.95,93.61,26.06,opendata.reseaux-energies.fr,false,
2023-01-06 21:00:00,France,France,FR,25.01,41.35,94.24,25.13,opendata.reseaux-energies.fr,false,
2023-01-06 22:00:00,France,France,FR,23.68,39.88,94.46,24.32,opendata.reseaux-energies.fr,false,
2023-01-06 23:00:00,France,France,FR,24.01,40.4,94.37,24.67,opendata.reseaux-energies.fr,false,
2023-01-07 00:00:00,France,France,FR,24.78,41.53,94.19,25.6,opendata.reseaux-energies.fr,false,
2023-01-07 01:00:00,France,France,FR,24.79,41.6,94.18,25.87,opendata.reseaux-energies.fr,false,
2023-01-07 02:00:00,France,France,FR,24.89,41.85,94.15,26.39,opendata.reseaux-energies.fr,false,
2023-01-07 03:00:00,France,France,FR,24.24,41.1,94.32,27.44,opendata.reseaux-energies.fr,false,
2023-01-07 04:00:00,France,France,FR,24.65,41.75,94.23,28.64,opendata.reseaux-energies.fr,false,
2023-01-07 05:00:00,France,France,FR,24.71,41.85,94.21,29.47,opendata.reseaux-energies.fr,false,
2023-01-07 06:00:00,France,France,FR,23.82,40.62,94.38,29.51,opendata.reseaux-energies.fr,false,
2023-01-07 07:00:00,France,France,FR,22.28,38.61,94.73,29.98,opendata.reseaux-energies.fr,false,
2023-01-07 08:00:00,France,France,FR,20.81,36.81,95.08,31.28,opendata.reseaux-energies.fr,false,
2023-01-07 09:00:00,France,France,FR,19.05,35.0,95.5,33.08,opendata.reseaux-energies.fr,false,
2023-01-07 10:00:00,France,France,FR,18.27,34.38,95.68,34.77,opendata.reseaux-energies.fr,false,
2023-01-07 11:00:00,France,France,FR,18.36,34.64,95.65,35.35,opendata.reseaux-energies.fr,false,
2023-01-07 12:00:00,France,France,FR,19.05,35.56,95.47,35.42,opendata.reseaux-energies.fr,false,
2023-01-07 13:00:00,France,France,FR,19.45,35.91,95.37,35.18,opendata.reseaux-energies.fr,false,
2023-01-07 14:00:00,France,France,FR,19.74,35.94,95.32,34.73,opendata.reseaux-energies.fr,false,
2023-01-07 15:00:00,France,France,FR,19.83,35.57,95.33,32.96,opendata.reseaux-energies.fr,false,
2023-01-07 16:00:00,France,France,FR,19.38,34.88,95.42,32.85,opendata.reseaux-energies.fr,false,
2023-01-07 17:00:00,France,France,FR,19.81,35.36,95.32,33.22,opendata.reseaux-energies.fr,false,
2023-01-07 18:00:00,France,France,FR,20.78,36.46,95.14,32.84,opendata.reseaux-energies.fr,false,
2023-01-07 19:00:00,France,France,FR,21.33,37.27,95.02,32.56,opendata.reseaux-energies.fr,false,
2023-01-07 20:00:00,France,France,FR,20.9,36.74,95.14,31.53,opendata.reseaux-energies.fr,false,
2023-01-07 21:00:00,France,France,FR,23.12,39.67,94.67,31.2,opendata.reseaux-energies.fr,false,
2023-01-07 22:00:00,France,France,FR,24.91,42.11,94.24,32.27,opendata.reseaux-energies.fr,false,
2023-01-07 23:00:00,France,France,FR,26.41,44.28,93.87,33.26,opendata.reseaux-energies.fr,false,
2023-01-08 00:00:00,France,France,FR,26.77,44.94,93.76,33.61,opendata.reseaux-energies.fr,false,
2023-01-08 01:00:00,France,France,FR,26.7,44.87,93.75,32.82,opendata.reseaux-energies.fr,false,
2023-01-08 02:00:00,France,France,FR,27.42,45.87,93.59,33.1,opendata.reseaux-energies.fr,false,
2023-01-08 03:00:00,France,France,FR,26.98,45.38,93.7,33.22,opendata.reseaux-energies.fr,false,
2023-01-08 04:00:00,France,France,FR,26.75,45.06,93.75,32.88,opendata.reseaux-energies.fr,false,
2023-01-08 05:00:00,France,France,FR,27.12,45.4,93.65,32.15,opendata.reseaux-energies.fr,false,
2023-01-08 06:00:00,France,France,FR,26.31,44.24,93.86,32.24,opendata.reseaux-energies.fr,false,
2023-01-08 07:00:00,France,France,FR,23.13,39.97,94.58,31.63,opendata.reseaux-energies.fr,false,
2023-01-08 08:00:00,France,France,FR,22.13,38.58,94.8,30.56,opendata.reseaux-energies.fr,false,
2023-01-08 09:00:00,France,France,FR,21.45,37.86,94.95,30.63,opendata.reseaux-energies.fr,false,
2023-01-08 10:00:00,France,France,FR,21.13,37.65,95.04,31.62,opendata.reseaux-energies.fr,false,
2023-01-08 11:00:00,France,France,FR,20.78,37.37,95.11,33.31,opendata.reseaux-energies.fr,false,
2023-01-08 12:00:00,France,France,FR,20.72,37.24,95.07,32.79,opendata.reseaux-energies.fr,false,
2023-01-08 13:00:00,France,France,FR,20.87,37.32,95.03,32.24,opendata.reseaux-energies.fr,false,
2023-01-08 14:00:00,France,France,FR,20.78,36.89,95.1,31.46,opendata.reseaux-energies.fr,false,
2023-01-08 15:00:00,France,France,FR,21.65,37.5,95.05,30.25,opendata.reseaux-energies.fr,false,
2023-01-08 16:00:00,France,France,FR,21.35,36.78,95.24,30.99,opendata.reseaux-energies.fr,false,
2023-01-08 17:00:00,France,France,FR,22.43,37.37,95.37,33.85,opendata.reseaux-energies.fr,false,
2023-01-08 18:00:00,France,France,FR,22.79,37.5,95.42,34.68,opendata.reseaux-energies.fr,false,
2023-01-08 19:00:00,France,France,FR,21.51,36.56,95.34,32.5,opendata.reseaux-energies.fr,false,
2023-01-08 20:00:00,France,France,FR,21.35,36.71,95.19,30.61,opendata.reseaux-energies.fr,false,
2023-01-08 21:00:00,France,France,FR,20.22,35.55,95.33,30.76,opendata.reseaux-energies.fr,false,
2023-01-08 22:00:00,France,France,FR,19.87,35.31,95.33,31.17,opendata.reseaux-energies.fr,false,
2023-01-08 23:00:00,France,France,FR,20.49,36.19,95.18,31.65,opendata.reseaux-energies.fr,false,
2023-01-09 00:00:00,France,France,FR,20.91,36.81,95.08,32.45,opendata.reseaux-energies.fr,false,
