Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2023-01-01 00:00:00,India,Western India,IN-WE,717.19,775.26,5.41,2.27,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 01:00:00,India,Western India,IN-WE,717.83,775.95,5.33,2.27,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 02:00:00,India,Western India,IN-WE,718.84,777.06,5.19,2.39,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 03:00:00,India,Western India,IN-WE,718.46,776.73,5.24,2.6,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 04:00:00,India,Western India,IN-WE,719.4,777.75,5.12,2.63,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 05:00:00,India,Western India,IN-WE,720.28,778.69,5.0,2.63,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 06:00:00,India,Western India,IN-WE,715.38,773.68,5.64,3.28,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 07:00:00,India,Western India,IN-WE,713.05,771.25,5.95,3.49,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 08:00:00,India,Western India,IN-WE,712.15,770.29,6.07,3.53,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 09:00:00,India,Western India,IN-WE,706.82,764.77,6.77,4.09,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 10:00:00,India,Western India,IN-WE,701.12,758.89,7.52,4.77,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 11:00:00,India,Western India,IN-WE,699.13,756.77,7.78,4.91,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 12:00:00,India,Western India,IN-WE,708.93,766.84,6.47,3.66,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 13:00:00,India,Western India,IN-WE,710.74,768.74,6.19,3.45,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 14:00:00,India,Western India,IN-WE,710.21,768.27,6.23,3.52,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 15:00:00,India,Western India,IN-WE,708.06,765.99,6.52,3.62,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 16:00:00,India,Western India,IN-WE,708.73,766.66,6.44,3.49,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 17:00:00,India,Western India,IN-WE,709.58,767.51,6.34,3.36,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 18:00:00,India,Western India,IN-WE,709.34,767.14,6.34,2.97,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 19:00:00,India,Western India,IN-WE,710.09,767.88,6.25,2.82,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 20:00:00,India,Western India,IN-WE,709.82,767.6,6.29,2.83,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 21:00:00,India,Western India,IN-WE,709.86,767.64,6.28,2.83,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 22:00:00,India,Western India,IN-WE,709.94,767.72,6.27,2.84,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 23:00:00,India,Western India,IN-WE,709.8,767.58,6.29,2.84,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 00:00:00,India,Western India,IN-WE,711.44,769.33,6.07,2.83,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 01:00:00,India,Western India,IN-WE,713.14,771.14,5.85,2.82,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 02:00:00,India,Western India,IN-WE,714.31,772.42,5.7,2.94,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 03:00:00,India,Western India,IN-WE,714.5,772.7,5.67,3.13,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
