Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2023-01-01 00:00:00,USA,California Independent System Operator,US-CAL-CISO,218.3,285.41,52.84,39.03,caiso.com,false,
2023-01-01 01:00:00,USA,California Independent System Operator,US-CAL-CISO,220.63,286.17,53.87,40.56,caiso.com,false,
2023-01-01 02:00:00,USA,California Independent System Operator,US-CAL-CISO,223.56,288.75,53.63,39.79,caiso.com,false,
2023-01-01 03:00:00,USA,California Independent System Operator,US-CAL-CISO,228.31,294.91,52.35,37.84,caiso.com,false,
2023-01-01 04:00:00,USA,California Independent System Operator,US-CAL-CISO,223.11,289.58,52.85,37.98,caiso.com,false,
2023-01-01 05:00:00,USA,California Independent System Operator,US-CAL-CISO,231.1,301.26,49.91,34.37,caiso.com,false,
2023-01-01 06:00:00,USA,California Independent System Operator,US-CAL-CISO,244.9,317.75,47.12,31.26,caiso.com,false,
2023-01-01 07:00:00,USA,California Independent System Operator,US-CAL-CISO,242.65,314.73,48.01,31.42,caiso.com,false,
2023-01-01 08:00:00,USA,California Independent System Operator,US-CAL-CISO,222.54,290.44,52.29,35.07,caiso.com,false,
2023-01-01 09:00:00,USA,California Independent System Operator,US-CAL-CISO,215.44,281.63,53.98,36.49,caiso.com,false,
2023-01-01 10:00:00,USA,California Independent System Operator,US-CAL-CISO,207.03,270.48,56.56,38.61,caiso.com,false,
2023-01-01 11:00:00,USA,California Independent System Operator,US-CAL-CISO,206.56,269.41,57.06,38.84,caiso.com,false,
2023-01-01 12:00:00,USA,California Independent System Operator,US-CAL-CISO,216.22,281.95,54.43,36.34,caiso.com,false,
2023-01-01 13:00:00,USA,California Independent System Operator,US-CAL-CISO,217.14,283.87,53.68,36.09,caiso.com,false,
2023-01-01 14:00:00,USA,California Independent System Operator,US-CAL-CISO,215.49,280.44,55.18,38.08,caiso.com,false,
2023-01-01 15:00:00,USA,California Independent System Operator,US-CAL-CISO,198.37,260.41,58.9,42.64,caiso.com,false,
2023-01-01 16:00:00,USA,California Independent System Operator,US-CAL-CISO,152.98,207.91,67.92,52.42,caiso.com,false,
2023-01-01 17:00:00,USA,California Independent System Operator,US-CAL-CISO,126.14,176.77,73.28,59.04,caiso.com,false,
2023-01-01 18:00:00,USA,California Independent System Operator,US-CAL-CISO,120.6,171.31,73.73,60.23,caiso.com,false,
2023-01-01 19:00:00,USA,California Independent System Operator,US-CAL-CISO,122.45,174.04,72.83,59.93,caiso.com,false,
2023-01-01 20:00:00,USA,California Independent System Operator,US-CAL-CISO,127.12,179.24,71.98,59.18,caiso.com,false,
