Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2023-01-01 00:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,299.98,365.25,45.78,7.43,pjm.com,false,
2023-01-01 01:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,290.95,354.25,47.69,8.52,pjm.com,false,
2023-01-01 02:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,286.31,348.43,48.83,8.61,pjm.com,false,
2023-01-01 03:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,287.02,348.72,49.03,7.77,pjm.com,false,
2023-01-01 04:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,282.61,342.48,50.6,8.45,pjm.com,false,
2023-01-01 05:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,277.53,335.66,52.13,9.12,pjm.com,false,
2023-01-01 06:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,271.14,328.05,53.35,9.73,pjm.com,false,
2023-01-01 07:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,271.64,328.04,53.74,9.08,pjm.com,false,
2023-01-01 08:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,275.97,333.32,52.78,7.92,pjm.com,false,
2023-01-01 09:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,276.89,334.47,52.59,7.35,pjm.com,false,
2023-01-01 10:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,273.09,330.1,53.22,7.5,pjm.com,false,
2023-01-01 11:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,274.7,332.09,52.87,7.28,pjm.com,false,
2023-01-01 12:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,277.9,336.67,51.75,7.02,pjm.com,false,
2023-01-01 13:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,281.06,340.97,50.82,6.79,pjm.com,false,
2023-01-01 14:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,280.23,339.98,51.07,7.06,pjm.com,false,
2023-01-01 15:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,283.38,344.22,50.13,6.49,pjm.com,false,
2023-01-01 16:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,285.0,346.68,49.44,6.21,pjm.com,false,
2023-01-01 17:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,285.87,348.12,48.97,6.1,pjm.com,false,
2023-01-01 18:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,286.65,349.26,48.63,5.87,pjm.com,false,
2023-01-01 19:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,287.75,350.55,48.44,5.76,pjm.com,false,
2023-01-01 20:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,290.16,353.81,47.62,5.11,pjm.com,false,
2023-01-01 21:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,295.28,360.99,45.8,4.55,pjm.com,false,
2023-01-01 22:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,291.87,358.06,45.76,6.43,pjm.com,false,
2023-01-01 23:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,295.97,363.22,44.71,6.07,pjm.com,false,
2023-01-02 00:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,295.18,362.27,44.84,5.94,pjm.com,false,
2023-01-02 01:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,299.01,366.77,44.05,4.84,pjm.com,false,
2023-01-02 02:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,297.94,364.71,44.78,4.35,pjm.com,false,
2023-01-02 03:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,299.18,365.68,44.84,3.58,pjm.com,false,
2023-01-02 04:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,297.57,362.69,45.93,3.26,pjm.com,false,
2023-01-02 05:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,295.07,358.74,47.17,3.12,pjm.com,false,
2023-01-02 06:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,293.11,356.23,47.69,3.05,pjm.com,false,
2023-01-02 07:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,287.7,349.96,48.64,3.47,pjm.com,false,
2023-01-02 08:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,288.45,350.72,48.56,3.35,pjm.com,false,
2023-01-02 09:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,290.11,352.84,48.14,3.54,pjm.com,false,
2023-01-02 10:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,292.2,356.16,47.16,3.6,pjm.com,false,
2023-01-02 11:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,295.86,361.75,45.54,3.62,pjm.com,false,
2023-01-02 12:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,297.96,364.81,44.74,3.93,pjm.com,false,
2023-01-02 13:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,301.71,368.73,44.47,4.11,pjm.com,false,
2023-01-02 14:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,294.83,360.58,45.87,5.51,pjm.com,false,
2023-01-02 15:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,298.09,365.3,44.63,5.31,pjm.com,false,
2023-01-02 16:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,297.2,364.33,44.73,5.17,pjm.com,false,
2023-01-02 17:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,300.95,368.42,44.26,4.65,pjm.com,false,
2023-01-02 18:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,304.38,371.98,43.99,4.22,pjm.com,false,
2023-01-02 19:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,305.42,373.24,43.73,3.93,pjm.com,false,
2023-01-02 20:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,306.86,374.93,43.41,3.67,pjm.com,false,
2023-01-02 21:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,303.75,371.53,43.8,4.5,pjm.com,false,
2023-01-02 22:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,296.95,363.67,45.18,7.96,pjm.com,false,
2023-01-02 23:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,295.56,361.93,45.5,8.58,pjm.com,false,
2023-01-03 00:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,295.63,362.37,45.14,8.08,pjm.com,false,
2023-01-03 01:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,305.4,373.14,43.71,5.68,pjm.com,false,
2023-01-03 02:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,299.01,365.02,45.3,5.91,pjm.com,false,
2023-01-03 03:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,290.93,355.64,46.63,6.04,pjm.com,false,
2023-01-03 04:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,285.26,348.44,48.03,6.59,pjm.com,false,
2023-01-03 05:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,279.55,340.12,50.27,7.09,pjm.com,false,
2023-01-03 06:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,278.18,337.54,51.25,7.17,pjm.com,false,
2023-01-03 07:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,281.98,342.26,50.35,6.36,pjm.com,false,
2023-01-03 08:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,282.55,342.9,50.28,6.32,pjm.com,false,
