Time,TZ1_OFFICEL::Des Heat Load [W],TZ1_OFFICEL:MUMBAI-SHIVAJI.INTL.AP APRIL .4% CONDNS DB=>MCWB:Des Sens Cool Load [W],TZ1_OFFICEL::Des Heat Mass Flow [kg/s],TZ1_OFFICEL:MUMBAI-SHIVAJI.INTL.AP APRIL .4% CONDNS DB=>MCWB:Des Cool Mass Flow [kg/s],TZ1_OFFICEL::Des Latent Heat Load [W],TZ1_OFFICEL::Des Latent Cool Load [W],TZ1_OFFICEL::Des Latent Heat Mass Flow [kg/s],TZ1_OFFICEL::Des Latent Cool Mass Flow [kg/s],TZ1_OFFICEL::Des Heat Load No DOAS [W],TZ1_OFFICEL::Des Sens Cool Load No DOAS [W],TZ1_OFFICEL::Des Latent Heat Load No DOAS [W],TZ1_OFFICEL::Des Latent Cool Load No DOAS [W],TZ1_OFFICEL::Heating Zone Temperature [C],TZ1_OFFICEL::Heating Zone Relative Humidity [%],TZ1_OFFICEL:MUMBAI-SHIVAJI.INTL.AP APRIL .4% CONDNS DB=>MCWB:Cooling Zone Temperature [C],TZ1_OFFICEL:MUMBAI-SHIVAJI.INTL.AP APRIL .4% CONDNS DB=>MCWB:Cooling Zone Relative Humidity [%],TZ2_OFFICES::Des Heat Load [W],TZ2_OFFICES:MUMBAI-SHIVAJI.INTL.AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],TZ2_OFFICES::Des Heat Mass Flow [kg/s],TZ2_OFFICES:MUMBAI-SHIVAJI.INTL.AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],TZ2_OFFICES::Des Latent Heat Load [W],TZ2_OFFICES::Des Latent Cool Load [W],TZ2_OFFICES::Des Latent Heat Mass Flow [kg/s],TZ2_OFFICES::Des Latent Cool Mass Flow [kg/s],TZ2_OFFICES::Des Heat Load No DOAS [W],TZ2_OFFICES::Des Sens Cool Load No DOAS [W],TZ2_OFFICES::Des Latent Heat Load No DOAS [W],TZ2_OFFICES::Des Latent Cool Load No DOAS [W],TZ2_OFFICES::Heating Zone Temperature [C],TZ2_OFFICES::Heating Zone Relative Humidity [%],TZ2_OFFICES:MUMBAI-SHIVAJI.INTL.AP ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],TZ2_OFFICES:MUMBAI-SHIVAJI.INTL.AP ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%],TZ3_CONFERENCE::Des Heat Load [W],TZ3_CONFERENCE:MUMBAI-SHIVAJI.INTL.AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],TZ3_CONFERENCE::Des Heat Mass Flow [kg/s],TZ3_CONFERENCE:MUMBAI-SHIVAJI.INTL.AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],TZ3_CONFERENCE::Des Latent Heat Load [W],TZ3_CONFERENCE::Des Latent Cool Load [W],TZ3_CONFERENCE::Des Latent Heat Mass Flow [kg/s],TZ3_CONFERENCE::Des Latent Cool Mass Flow [kg/s],TZ3_CONFERENCE::Des Heat Load No DOAS [W],TZ3_CONFERENCE::Des Sens Cool Load No DOAS [W],TZ3_CONFERENCE::Des Latent Heat Load No DOAS [W],TZ3_CONFERENCE::Des Latent Cool Load No DOAS [W],TZ3_CONFERENCE::Heating Zone Temperature [C],TZ3_CONFERENCE::Heating Zone Relative Humidity [%],TZ3_CONFERENCE:MUMBAI-SHIVAJI.INTL.AP ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],TZ3_CONFERENCE:MUMBAI-SHIVAJI.INTL.AP ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%],TZ4_KITCHEN::Des Heat Load [W],TZ4_KITCHEN:MUMBAI-SHIVAJI.INTL.AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],TZ4_KITCHEN::Des Heat Mass Flow [kg/s],TZ4_KITCHEN:MUMBAI-SHIVAJI.INTL.AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],TZ4_KITCHEN::Des Latent Heat Load [W],TZ4_KITCHEN::Des Latent Cool Load [W],TZ4_KITCHEN::Des Latent Heat Mass Flow [kg/s],TZ4_KITCHEN::Des Latent Cool Mass Flow [kg/s],TZ4_KITCHEN::Des Heat Load No DOAS [W],TZ4_KITCHEN::Des Sens Cool Load No DOAS [W],TZ4_KITCHEN::Des Latent Heat Load No DOAS [W],TZ4_KITCHEN::Des Latent Cool Load No DOAS [W],TZ4_KITCHEN::Heating Zone Temperature [C],TZ4_KITCHEN::Heating Zone Relative Humidity [%],TZ4_KITCHEN:MUMBAI-SHIVAJI.INTL.AP ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],TZ4_KITCHEN:MUMBAI-SHIVAJI.INTL.AP ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%],TZ5_OFFICEM::Des Heat Load [W],TZ5_OFFICEM:MUMBAI-SHIVAJI.INTL.AP APRIL .4% CONDNS DB=>MCWB:Des Sens Cool Load [W],TZ5_OFFICEM::Des Heat Mass Flow [kg/s],TZ5_OFFICEM:MUMBAI-SHIVAJI.INTL.AP APRIL .4% CONDNS DB=>MCWB:Des Cool Mass Flow [kg/s],TZ5_OFFICEM::Des Latent Heat Load [W],TZ5_OFFICEM::Des Latent Cool Load [W],TZ5_OFFICEM::Des Latent Heat Mass Flow [kg/s],TZ5_OFFICEM::Des Latent Cool Mass Flow [kg/s],TZ5_OFFICEM::Des Heat Load No DOAS [W],TZ5_OFFICEM::Des Sens Cool Load No DOAS [W],TZ5_OFFICEM::Des Latent Heat Load No DOAS [W],TZ5_OFFICEM::Des Latent Cool Load No DOAS [W],TZ5_OFFICEM::Heating Zone Temperature [C],TZ5_OFFICEM::Heating Zone Relative Humidity [%],TZ5_OFFICEM:MUMBAI-SHIVAJI.INTL.AP APRIL .4% CONDNS DB=>MCWB:Cooling Zone Temperature [C],TZ5_OFFICEM:MUMBAI-SHIVAJI.INTL.AP APRIL .4% CONDNS DB=>MCWB:Cooling Zone Relative Humidity [%],TZ6_BREAKROOM::Des Heat Load [W],TZ6_BREAKROOM:MUMBAI-SHIVAJI.INTL.AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],TZ6_BREAKROOM::Des Heat Mass Flow [kg/s],TZ6_BREAKROOM:MUMBAI-SHIVAJI.INTL.AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],TZ6_BREAKROOM::Des Latent Heat Load [W],TZ6_BREAKROOM::Des Latent Cool Load [W],TZ6_BREAKROOM::Des Latent Heat Mass Flow [kg/s],TZ6_BREAKROOM::Des Latent Cool Mass Flow [kg/s],TZ6_BREAKROOM::Des Heat Load No DOAS [W],TZ6_BREAKROOM::Des Sens Cool Load No DOAS [W],TZ6_BREAKROOM::Des Latent Heat Load No DOAS [W],TZ6_BREAKROOM::Des Latent Cool Load No DOAS [W],TZ6_BREAKROOM::Heating Zone Temperature [C],TZ6_BREAKROOM::Heating Zone Relative Humidity [%],TZ6_BREAKROOM:MUMBAI-SHIVAJI.INTL.AP ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],TZ6_BREAKROOM:MUMBAI-SHIVAJI.INTL.AP ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%]
00:30:00,0.000000E+00,1.876518E+04,0.000000E+00,1.671867E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499687E+01,4.368773E+01,0.000000E+00,1.787956E+04,0.000000E+00,1.592665E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499909E+01,4.312457E+01,0.000000E+00,9.239017E+03,0.000000E+00,8.230442E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499827E+01,4.330551E+01,0.000000E+00,4.600446E+03,0.000000E+00,4.098065E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499878E+01,4.326851E+01,0.000000E+00,1.810026E+04,0.000000E+00,1.612534E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499754E+01,4.342505E+01,0.000000E+00,4.962623E+03,0.000000E+00,4.421091E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499771E+01,4.343646E+01
01:00:00,0.000000E+00,1.869989E+04,0.000000E+00,1.666103E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499663E+01,4.369426E+01,0.000000E+00,1.786950E+04,0.000000E+00,1.591787E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499897E+01,4.312501E+01,0.000000E+00,9.224535E+03,0.000000E+00,8.217703E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499810E+01,4.330771E+01,0.000000E+00,4.593256E+03,0.000000E+00,4.091714E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499867E+01,4.327061E+01,0.000000E+00,1.805998E+04,0.000000E+00,1.608991E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499729E+01,4.342870E+01,0.000000E+00,4.951194E+03,0.000000E+00,4.411017E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499750E+01,4.343995E+01
01:30:00,0.000000E+00,1.864048E+04,0.000000E+00,1.660840E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499647E+01,4.369980E+01,0.000000E+00,1.786020E+04,0.000000E+00,1.590974E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499887E+01,4.312533E+01,0.000000E+00,9.211056E+03,0.000000E+00,8.205809E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499797E+01,4.330864E+01,0.000000E+00,4.586130E+03,0.000000E+00,4.085402E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499859E+01,4.327167E+01,0.000000E+00,1.802320E+04,0.000000E+00,1.605745E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499712E+01,4.343044E+01,0.000000E+00,4.940640E+03,0.000000E+00,4.401685E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499736E+01,4.344152E+01
02:00:00,0.000000E+00,1.858466E+04,0.000000E+00,1.655887E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499636E+01,4.370211E+01,0.000000E+00,1.785137E+04,0.000000E+00,1.590200E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499879E+01,4.312560E+01,0.000000E+00,9.198378E+03,0.000000E+00,8.194595E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499788E+01,4.330919E+01,0.000000E+00,4.578948E+03,0.000000E+00,4.079027E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499854E+01,4.327206E+01,0.000000E+00,1.798846E+04,0.000000E+00,1.602672E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499699E+01,4.343146E+01,0.000000E+00,4.930543E+03,0.000000E+00,4.392737E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499726E+01,4.344249E+01
02:30:00,0.000000E+00,1.853165E+04,0.000000E+00,1.651177E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499628E+01,4.370400E+01,0.000000E+00,1.784294E+04,0.000000E+00,1.589461E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499872E+01,4.312584E+01,0.000000E+00,9.186351E+03,0.000000E+00,8.183938E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499782E+01,4.330976E+01,0.000000E+00,4.571785E+03,0.000000E+00,4.072661E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499851E+01,4.327249E+01,0.000000E+00,1.795529E+04,0.000000E+00,1.599731E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499691E+01,4.343251E+01,0.000000E+00,4.920832E+03,0.000000E+00,4.384117E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499720E+01,4.344352E+01
03:00:00,0.000000E+00,1.848155E+04,0.000000E+00,1.646723E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499623E+01,4.370609E+01,0.000000E+00,1.783495E+04,0.000000E+00,1.588758E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499866E+01,4.312604E+01,0.000000E+00,9.175009E+03,0.000000E+00,8.173873E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499777E+01,4.331026E+01,0.000000E+00,4.564734E+03,0.000000E+00,4.066389E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499849E+01,4.327295E+01,0.000000E+00,1.792374E+04,0.000000E+00,1.596932E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499684E+01,4.343348E+01,0.000000E+00,4.911539E+03,0.000000E+00,4.375860E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499716E+01,4.344447E+01
03:30:00,0.000000E+00,1.843335E+04,0.000000E+00,1.642434E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499619E+01,4.370812E+01,0.000000E+00,1.782727E+04,0.000000E+00,1.588082E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499861E+01,4.312622E+01,0.000000E+00,9.164133E+03,0.000000E+00,8.164213E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499774E+01,4.331071E+01,0.000000E+00,4.557798E+03,0.000000E+00,4.060215E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499848E+01,4.327337E+01,0.000000E+00,1.789325E+04,0.000000E+00,1.594223E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499680E+01,4.343435E+01,0.000000E+00,4.902557E+03,0.000000E+00,4.367871E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499712E+01,4.344534E+01
04:00:00,0.000000E+00,1.838701E+04,0.000000E+00,1.638311E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499616E+01,4.371002E+01,0.000000E+00,1.781990E+04,0.000000E+00,1.587432E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499857E+01,4.312638E+01,0.000000E+00,9.153710E+03,0.000000E+00,8.154947E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499772E+01,4.331111E+01,0.000000E+00,4.551030E+03,0.000000E+00,4.054190E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499847E+01,4.327376E+01,0.000000E+00,1.786380E+04,0.000000E+00,1.591604E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499677E+01,4.343517E+01,0.000000E+00,4.893892E+03,0.000000E+00,4.360162E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499710E+01,4.344616E+01
04:30:00,0.000000E+00,1.834360E+04,0.000000E+00,1.634447E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499613E+01,4.371186E+01,0.000000E+00,1.781297E+04,0.000000E+00,1.586821E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499853E+01,4.312652E+01,0.000000E+00,9.143973E+03,0.000000E+00,8.146287E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499770E+01,4.331150E+01,0.000000E+00,4.544538E+03,0.000000E+00,4.048409E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499847E+01,4.327415E+01,0.000000E+00,1.783602E+04,0.000000E+00,1.589134E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499674E+01,4.343595E+01,0.000000E+00,4.885676E+03,0.000000E+00,4.352849E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499709E+01,4.344695E+01
05:00:00,0.000000E+00,1.830310E+04,0.000000E+00,1.630843E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499611E+01,4.371352E+01,0.000000E+00,1.780650E+04,0.000000E+00,1.586249E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499850E+01,4.312664E+01,0.000000E+00,9.134936E+03,0.000000E+00,8.138247E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499769E+01,4.331183E+01,0.000000E+00,4.538347E+03,0.000000E+00,4.042895E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499847E+01,4.327450E+01,0.000000E+00,1.780993E+04,0.000000E+00,1.586812E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499672E+01,4.343665E+01,0.000000E+00,4.877905E+03,0.000000E+00,4.345932E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499707E+01,4.344767E+01
